Entity,Code,Day,Daily new confirmed cases of COVID-19,Daily new confirmed deaths due to COVID-19
Asia,,1/22/2020,0,0
Asia excl. China,,1/22/2020,0,0
High income,,1/22/2020,0,0
Lower middle income,,1/22/2020,0,0
North America,,1/22/2020,0,0
Upper middle income,,1/22/2020,0,0
World,OWID_WRL,1/22/2020,0,0
World excl. China,,1/22/2020,0,0
World excl. China and South Korea,,1/22/2020,0,0
"World excl. China, South Korea, Japan and Singapore",,1/22/2020,0,0
Asia,,1/23/2020,98,1
Asia excl. China,,1/23/2020,5,0
China,CHN,1/23/2020,93,1
Europe,,1/23/2020,0,0
European Union,,1/23/2020,0,0
High income,,1/23/2020,3,0
Hong Kong,HKG,1/23/2020,2,
Japan,JPN,1/23/2020,0,
Lower middle income,,1/23/2020,2,0
North America,,1/23/2020,0,0
Singapore,SGP,1/23/2020,1,
South Korea,KOR,1/23/2020,0,
Taiwan,TWN,1/23/2020,0,
Thailand,THA,1/23/2020,0,
United States,USA,1/23/2020,0,
Upper middle income,,1/23/2020,93,1
Vietnam,VNM,1/23/2020,2,
World,OWID_WRL,1/23/2020,98,1
World excl. China,,1/23/2020,5,0
World excl. China and South Korea,,1/23/2020,5,0
"World excl. China, South Korea, Japan and Singapore",,1/23/2020,4,0
Asia,,1/24/2020,283,8
Asia excl. China,,1/24/2020,6,0
China,CHN,1/24/2020,277,8
Europe,,1/24/2020,2,0
European Union,,1/24/2020,2,0
France,FRA,1/24/2020,2,
High income,,1/24/2020,8,0
Hong Kong,HKG,1/24/2020,0,
Japan,JPN,1/24/2020,0,
Lower middle income,,1/24/2020,0,0
North America,,1/24/2020,1,0
Singapore,SGP,1/24/2020,2,
South Korea,KOR,1/24/2020,1,
Taiwan,TWN,1/24/2020,2,
Thailand,THA,1/24/2020,1,
United States,USA,1/24/2020,1,
Upper middle income,,1/24/2020,278,8
Vietnam,VNM,1/24/2020,0,
World,OWID_WRL,1/24/2020,286,8
World excl. China,,1/24/2020,9,0
World excl. China and South Korea,,1/24/2020,8,0
"World excl. China, South Korea, Japan and Singapore",,1/24/2020,6,0
Asia,,1/25/2020,491,16
Asia excl. China,,1/25/2020,8,0
China,CHN,1/25/2020,483,16
Europe,,1/25/2020,1,0
European Union,,1/25/2020,1,0
France,FRA,1/25/2020,1,
High income,,1/25/2020,4,0
Hong Kong,HKG,1/25/2020,3,
Japan,JPN,1/25/2020,0,
Lower middle income,,1/25/2020,1,0
Malaysia,MYS,1/25/2020,3,
Nepal,NPL,1/25/2020,1,
North America,,1/25/2020,0,0
Oceania,,1/25/2020,0,0
Singapore,SGP,1/25/2020,0,
South Korea,KOR,1/25/2020,0,
Taiwan,TWN,1/25/2020,0,
Thailand,THA,1/25/2020,1,
United States,USA,1/25/2020,0,
Upper middle income,,1/25/2020,487,16
Vietnam,VNM,1/25/2020,0,
World,OWID_WRL,1/25/2020,492,16
World excl. China,,1/25/2020,9,0
World excl. China and South Korea,,1/25/2020,9,0
"World excl. China, South Korea, Japan and Singapore",,1/25/2020,9,0
Asia,,1/26/2020,677,14
Asia excl. China,,1/26/2020,11,0
Australia,AUS,1/26/2020,4,
Canada,CAN,1/26/2020,1,
China,CHN,1/26/2020,666,14
Europe,,1/26/2020,0,0
European Union,,1/26/2020,0,0
France,FRA,1/26/2020,0,
High income,,1/26/2020,16,0
Hong Kong,HKG,1/26/2020,3,
Japan,JPN,1/26/2020,2,
Lower middle income,,1/26/2020,0,0
Malaysia,MYS,1/26/2020,1,
Nepal,NPL,1/26/2020,0,
North America,,1/26/2020,4,0
Oceania,,1/26/2020,4,0
Singapore,SGP,1/26/2020,1,
South Korea,KOR,1/26/2020,1,
Taiwan,TWN,1/26/2020,1,
Thailand,THA,1/26/2020,2,
United States,USA,1/26/2020,3,
Upper middle income,,1/26/2020,669,14
Vietnam,VNM,1/26/2020,0,
World,OWID_WRL,1/26/2020,685,14
World excl. China,,1/26/2020,19,0
World excl. China and South Korea,,1/26/2020,18,0
"World excl. China, South Korea, Japan and Singapore",,1/26/2020,15,0
Asia,,1/27/2020,807,26
Asia excl. China,,1/27/2020,5,0
Australia,AUS,1/27/2020,1,
Cambodia,KHM,1/27/2020,1,
Canada,CAN,1/27/2020,0,
China,CHN,1/27/2020,802,26
Europe,,1/27/2020,1,0
European Union,,1/27/2020,1,0
France,FRA,1/27/2020,0,
Germany,DEU,1/27/2020,1,
High income,,1/27/2020,5,0
Hong Kong,HKG,1/27/2020,0,
Japan,JPN,1/27/2020,0,
Lower middle income,,1/27/2020,2,0
Malaysia,MYS,1/27/2020,0,
Nepal,NPL,1/27/2020,0,
North America,,1/27/2020,0,0
Oceania,,1/27/2020,1,0
Singapore,SGP,1/27/2020,1,
South Korea,KOR,1/27/2020,1,
Sri Lanka,LKA,1/27/2020,1,
Taiwan,TWN,1/27/2020,1,
Thailand,THA,1/27/2020,0,
United States,USA,1/27/2020,0,
Upper middle income,,1/27/2020,802,26
Vietnam,VNM,1/27/2020,0,
World,OWID_WRL,1/27/2020,809,26
World excl. China,,1/27/2020,7,0
World excl. China and South Korea,,1/27/2020,6,0
"World excl. China, South Korea, Japan and Singapore",,1/27/2020,5,0
Asia,,1/28/2020,2646,49
Asia excl. China,,1/28/2020,14,0
Australia,AUS,1/28/2020,0,
Cambodia,KHM,1/28/2020,0,
Canada,CAN,1/28/2020,1,
China,CHN,1/28/2020,2632,49
Europe,,1/28/2020,4,0
European Union,,1/28/2020,4,0
France,FRA,1/28/2020,1,
Germany,DEU,1/28/2020,3,
High income,,1/28/2020,13,0
Hong Kong,HKG,1/28/2020,0,
Japan,JPN,1/28/2020,3,
Lower middle income,,1/28/2020,0,0
Malaysia,MYS,1/28/2020,0,
Nepal,NPL,1/28/2020,0,
North America,,1/28/2020,1,0
Oceania,,1/28/2020,0,0
Singapore,SGP,1/28/2020,2,
South Korea,KOR,1/28/2020,0,
Sri Lanka,LKA,1/28/2020,0,
Taiwan,TWN,1/28/2020,3,
Thailand,THA,1/28/2020,6,
United States,USA,1/28/2020,0,
Upper middle income,,1/28/2020,2638,49
Vietnam,VNM,1/28/2020,0,
